ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-11-19T00:00:00.000000000Z,32,1,42006053,43510.000000000,43510.000000000,43507.000000000,43507.000000000,5,YM
2024-11-19T00:00:01.000000000Z,32,1,42006053,43508.000000000,43508.000000000,43508.000000000,43508.000000000,2,YM
2024-11-19T00:00:04.000000000Z,32,1,42006053,43508.000000000,43510.000000000,43508.000000000,43510.000000000,6,YM
2024-11-19T00:00:07.000000000Z,32,1,42006053,43510.000000000,43510.000000000,43510.000000000,43510.000000000,3,YM
2024-11-19T00:00:13.000000000Z,32,1,42006053,43511.000000000,43511.000000000,43511.000000000,43511.000000000,2,YM
2024-11-19T00:00:30.000000000Z,32,1,42006053,43510.000000000,43510.000000000,43510.000000000,43510.000000000,1,YM
2024-11-19T00:00:33.000000000Z,32,1,42006053,43508.000000000,43508.000000000,43508.000000000,43508.000000000,2,YM
2024-11-19T00:00:35.000000000Z,32,1,42006053,43509.000000000,43509.000000000,43509.000000000,43509.000000000,2,YM
2024-11-19T00:00:42.000000000Z,32,1,42006053,43508.000000000,43508.000000000,43508.000000000,43508.000000000,4,YM
2024-11-19T00:00:54.000000000Z,32,1,42006053,43510.000000000,43510.000000000,43510.000000000,43510.000000000,1,YM
2024-11-19T00:01:00.000000000Z,32,1,42006053,43511.000000000,43511.000000000,43511.000000000,43511.000000000,1,YM
2024-11-19T00:01:02.000000000Z,32,1,42006053,43511.000000000,43512.000000000,43511.000000000,43511.000000000,5,YM
2024-11-19T00:01:05.000000000Z,32,1,42006053,43512.000000000,43512.000000000,43512.000000000,43512.000000000,2,YM
2024-11-19T00:01:06.000000000Z,32,1,42006053,43511.000000000,43511.000000000,43511.000000000,43511.000000000,1,YM
2024-11-19T00:01:13.000000000Z,32,1,42006053,43510.000000000,43510.000000000,43510.000000000,43510.000000000,1,YM
2024-11-19T00:01:34.000000000Z,32,1,42006053,43512.000000000,43512.000000000,43512.000000000,43512.000000000,1,YM
2024-11-19T00:01:36.000000000Z,32,1,42006053,43512.000000000,43512.000000000,43512.000000000,43512.000000000,1,YM
2024-11-19T00:01:40.000000000Z,32,1,42006053,43511.000000000,43511.000000000,43511.000000000,43511.000000000,1,YM
2024-11-19T00:01:47.000000000Z,32,1,42006053,43513.000000000,43513.000000000,43513.000000000,43513.000000000,2,YM
2024-11-19T00:01:48.000000000Z,32,1,42006053,43512.000000000,43513.000000000,43512.000000000,43513.000000000,2,YM
2024-11-19T00:01:54.000000000Z,32,1,42006053,43513.000000000,43513.000000000,43513.000000000,43513.000000000,2,YM
2024-11-19T00:02:01.000000000Z,32,1,42006053,43513.000000000,43513.000000000,43513.000000000,43513.000000000,1,YM
2024-11-19T00:02:02.000000000Z,32,1,42006053,43514.000000000,43514.000000000,43514.000000000,43514.000000000,1,YM
2024-11-19T00:02:09.000000000Z,32,1,42006053,43514.000000000,43515.000000000,43514.000000000,43515.000000000,2,YM
2024-11-19T00:02:10.000000000Z,32,1,42006053,43514.000000000,43514.000000000,43514.000000000,43514.000000000,1,YM
2024-11-19T00:02:15.000000000Z,32,1,42006053,43515.000000000,43515.000000000,43515.000000000,43515.000000000,3,YM
2024-11-19T00:02:27.000000000Z,32,1,42006053,43514.000000000,43514.000000000,43514.000000000,43514.000000000,1,YM
2024-11-19T00:02:47.000000000Z,32,1,42006053,43514.000000000,43514.000000000,43514.000000000,43514.000000000,1,YM
2024-11-19T00:02:51.000000000Z,32,1,42006053,43513.000000000,43513.000000000,43513.000000000,43513.000000000,2,YM
