ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-04-29T00:00:00.000000000Z,32,1,80420,38529.000000000,38529.000000000,38528.000000000,38528.000000000,9,YM
2024-04-29T00:00:01.000000000Z,32,1,80420,38529.000000000,38530.000000000,38529.000000000,38530.000000000,8,YM
2024-04-29T00:00:04.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,1,YM
2024-04-29T00:00:06.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,1,YM
2024-04-29T00:00:12.000000000Z,32,1,80420,38528.000000000,38528.000000000,38528.000000000,38528.000000000,3,YM
2024-04-29T00:00:14.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,1,YM
2024-04-29T00:00:16.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,2,YM
2024-04-29T00:00:28.000000000Z,32,1,80420,38530.000000000,38530.000000000,38526.000000000,38526.000000000,25,YM
2024-04-29T00:00:33.000000000Z,32,1,80420,38528.000000000,38528.000000000,38528.000000000,38528.000000000,1,YM
2024-04-29T00:00:40.000000000Z,32,1,80420,38528.000000000,38528.000000000,38528.000000000,38528.000000000,3,YM
2024-04-29T00:00:49.000000000Z,32,1,80420,38527.000000000,38527.000000000,38527.000000000,38527.000000000,1,YM
2024-04-29T00:00:57.000000000Z,32,1,80420,38527.000000000,38527.000000000,38527.000000000,38527.000000000,1,YM
2024-04-29T00:01:00.000000000Z,32,1,80420,38528.000000000,38528.000000000,38528.000000000,38528.000000000,1,YM
2024-04-29T00:01:04.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,4,YM
2024-04-29T00:01:10.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:01:22.000000000Z,32,1,80420,38531.000000000,38532.000000000,38531.000000000,38531.000000000,5,YM
2024-04-29T00:01:30.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:01:38.000000000Z,32,1,80420,38532.000000000,38532.000000000,38532.000000000,38532.000000000,1,YM
2024-04-29T00:01:41.000000000Z,32,1,80420,38533.000000000,38533.000000000,38533.000000000,38533.000000000,2,YM
2024-04-29T00:01:42.000000000Z,32,1,80420,38532.000000000,38532.000000000,38532.000000000,38532.000000000,3,YM
2024-04-29T00:01:43.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,2,YM
2024-04-29T00:01:54.000000000Z,32,1,80420,38532.000000000,38532.000000000,38532.000000000,38532.000000000,2,YM
2024-04-29T00:01:55.000000000Z,32,1,80420,38533.000000000,38533.000000000,38533.000000000,38533.000000000,1,YM
2024-04-29T00:02:00.000000000Z,32,1,80420,38532.000000000,38532.000000000,38532.000000000,38532.000000000,3,YM
2024-04-29T00:02:03.000000000Z,32,1,80420,38532.000000000,38532.000000000,38532.000000000,38532.000000000,1,YM
2024-04-29T00:02:04.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,1,YM
2024-04-29T00:02:05.000000000Z,32,1,80420,38532.000000000,38532.000000000,38532.000000000,38532.000000000,1,YM
2024-04-29T00:02:14.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,1,YM
2024-04-29T00:02:30.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,1,YM
2024-04-29T00:02:31.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:02:35.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,3,YM
2024-04-29T00:02:52.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,1,YM
2024-04-29T00:02:53.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,1,YM
2024-04-29T00:02:56.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:02:58.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,1,YM
2024-04-29T00:03:19.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,2,YM
2024-04-29T00:03:21.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,1,YM
2024-04-29T00:03:25.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,2,YM
2024-04-29T00:03:27.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:03:28.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:03:29.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,2,YM
2024-04-29T00:03:34.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,3,YM
2024-04-29T00:03:43.000000000Z,32,1,80420,38529.000000000,38529.000000000,38529.000000000,38529.000000000,1,YM
2024-04-29T00:03:54.000000000Z,32,1,80420,38530.000000000,38530.000000000,38529.000000000,38529.000000000,15,YM
2024-04-29T00:03:58.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,3,YM
2024-04-29T00:04:01.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:04:04.000000000Z,32,1,80420,38530.000000000,38530.000000000,38530.000000000,38530.000000000,1,YM
2024-04-29T00:04:09.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,3,YM
2024-04-29T00:04:15.000000000Z,32,1,80420,38532.000000000,38532.000000000,38532.000000000,38532.000000000,2,YM
2024-04-29T00:04:30.000000000Z,32,1,80420,38531.000000000,38531.000000000,38531.000000000,38531.000000000,1,YM
2024-04-29T00:04:38.000000000Z,32,1,80420,38533.000000000,38533.000000000,38533.000000000,38533.000000000,3,YM
2024-04-29T00:04:41.000000000Z,32,1,80420,38533.000000000,38533.000000000,38533.000000000,38533.000000000,1,YM
2024-04-29T00:04:45.000000000Z,32,1,80420,38533.000000000,38533.000000000,38533.000000000,38533.000000000,2,YM
2024-04-29T00:04:46.000000000Z,32,1,80420,38533.000000000,38533.000000000,38533.000000000,38533.000000000,1,YM
2024-04-29T00:04:47.000000000Z,32,1,80420,38535.000000000,38537.000000000,38535.000000000,38537.000000000,11,YM
2024-04-29T00:04:48.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,1,YM
2024-04-29T00:04:49.000000000Z,32,1,80420,38537.000000000,38538.000000000,38537.000000000,38537.000000000,6,YM
2024-04-29T00:05:00.000000000Z,32,1,80420,38536.000000000,38536.000000000,38536.000000000,38536.000000000,2,YM
2024-04-29T00:05:01.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,1,YM
2024-04-29T00:05:04.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,2,YM
2024-04-29T00:05:06.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,1,YM
2024-04-29T00:05:07.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,2,YM
2024-04-29T00:05:10.000000000Z,32,1,80420,38537.000000000,38538.000000000,38537.000000000,38538.000000000,2,YM
2024-04-29T00:05:11.000000000Z,32,1,80420,38536.000000000,38536.000000000,38536.000000000,38536.000000000,2,YM
2024-04-29T00:05:12.000000000Z,32,1,80420,38536.000000000,38536.000000000,38536.000000000,38536.000000000,1,YM
2024-04-29T00:05:13.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,6,YM
2024-04-29T00:05:14.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,2,YM
2024-04-29T00:05:21.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,1,YM
2024-04-29T00:05:29.000000000Z,32,1,80420,38539.000000000,38541.000000000,38538.000000000,38539.000000000,17,YM
2024-04-29T00:05:32.000000000Z,32,1,80420,38539.000000000,38539.000000000,38539.000000000,38539.000000000,1,YM
2024-04-29T00:05:33.000000000Z,32,1,80420,38539.000000000,38539.000000000,38539.000000000,38539.000000000,1,YM
2024-04-29T00:05:34.000000000Z,32,1,80420,38540.000000000,38541.000000000,38540.000000000,38541.000000000,4,YM
2024-04-29T00:05:35.000000000Z,32,1,80420,38539.000000000,38539.000000000,38539.000000000,38539.000000000,1,YM
2024-04-29T00:05:42.000000000Z,32,1,80420,38538.000000000,38538.000000000,38537.000000000,38537.000000000,4,YM
2024-04-29T00:05:50.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,2,YM
2024-04-29T00:05:52.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,3,YM
2024-04-29T00:06:01.000000000Z,32,1,80420,38538.000000000,38538.000000000,38537.000000000,38538.000000000,4,YM
2024-04-29T00:06:03.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,2,YM
2024-04-29T00:06:07.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,3,YM
2024-04-29T00:06:10.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,1,YM
2024-04-29T00:06:12.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,1,YM
2024-04-29T00:06:16.000000000Z,32,1,80420,38536.000000000,38536.000000000,38536.000000000,38536.000000000,1,YM
2024-04-29T00:06:18.000000000Z,32,1,80420,38537.000000000,38538.000000000,38536.000000000,38536.000000000,6,YM
2024-04-29T00:06:50.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,1,YM
2024-04-29T00:06:57.000000000Z,32,1,80420,38539.000000000,38540.000000000,38538.000000000,38538.000000000,6,YM
2024-04-29T00:07:04.000000000Z,32,1,80420,38539.000000000,38539.000000000,38539.000000000,38539.000000000,3,YM
2024-04-29T00:07:05.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,1,YM
2024-04-29T00:07:12.000000000Z,32,1,80420,38540.000000000,38540.000000000,38539.000000000,38539.000000000,6,YM
2024-04-29T00:07:28.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,1,YM
2024-04-29T00:07:31.000000000Z,32,1,80420,38538.000000000,38538.000000000,38537.000000000,38537.000000000,2,YM
2024-04-29T00:07:32.000000000Z,32,1,80420,38539.000000000,38539.000000000,38538.000000000,38538.000000000,6,YM
2024-04-29T00:07:33.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,1,YM
2024-04-29T00:07:34.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,2,YM
2024-04-29T00:07:35.000000000Z,32,1,80420,38537.000000000,38537.000000000,38537.000000000,38537.000000000,3,YM
2024-04-29T00:07:42.000000000Z,32,1,80420,38538.000000000,38538.000000000,38538.000000000,38538.000000000,2,YM
2024-04-29T00:07:56.000000000Z,32,1,80420,38536.000000000,38537.000000000,38536.000000000,38537.000000000,2,YM
2024-04-29T00:07:58.000000000Z,32,1,80420,38536.000000000,38536.000000000,38536.000000000,38536.000000000,2,YM
2024-04-29T00:08:00.000000000Z,32,1,80420,38535.000000000,38535.000000000,38535.000000000,38535.000000000,1,YM
