ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-10-10T00:00:00.000000000Z,32,1,42006053,42824.000000000,42824.000000000,42824.000000000,42824.000000000,1,YM
2024-10-10T00:00:01.000000000Z,32,1,42006053,42827.000000000,42827.000000000,42825.000000000,42825.000000000,4,YM
2024-10-10T00:00:03.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,9,YM
2024-10-10T00:00:12.000000000Z,32,1,42006053,42824.000000000,42825.000000000,42824.000000000,42825.000000000,5,YM
2024-10-10T00:00:17.000000000Z,32,1,42006053,42824.000000000,42824.000000000,42824.000000000,42824.000000000,3,YM
2024-10-10T00:00:18.000000000Z,32,1,42006053,42825.000000000,42825.000000000,42825.000000000,42825.000000000,2,YM
2024-10-10T00:00:26.000000000Z,32,1,42006053,42824.000000000,42824.000000000,42824.000000000,42824.000000000,1,YM
2024-10-10T00:00:35.000000000Z,32,1,42006053,42824.000000000,42824.000000000,42824.000000000,42824.000000000,1,YM
2024-10-10T00:01:03.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:01:04.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:01:05.000000000Z,32,1,42006053,42819.000000000,42821.000000000,42819.000000000,42821.000000000,3,YM
2024-10-10T00:01:06.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:01:10.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,1,YM
2024-10-10T00:01:17.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,2,YM
2024-10-10T00:01:35.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42816.000000000,42816.000000000,3,YM
2024-10-10T00:01:49.000000000Z,32,1,42006053,42814.000000000,42814.000000000,42813.000000000,42814.000000000,3,YM
2024-10-10T00:01:55.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:02:05.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:02:15.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,2,YM
2024-10-10T00:02:19.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:02:22.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:02:23.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:02:25.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:02:30.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:02:59.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:03:02.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:03:25.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:03:27.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42815.000000000,42815.000000000,3,YM
2024-10-10T00:03:30.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:03:45.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:03:52.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:04:09.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:04:14.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:04:29.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:04:50.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:04:54.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:05:02.000000000Z,32,1,42006053,42813.000000000,42813.000000000,42813.000000000,42813.000000000,1,YM
2024-10-10T00:05:06.000000000Z,32,1,42006053,42812.000000000,42812.000000000,42811.000000000,42811.000000000,3,YM
2024-10-10T00:05:07.000000000Z,32,1,42006053,42811.000000000,42811.000000000,42811.000000000,42811.000000000,1,YM
2024-10-10T00:05:20.000000000Z,32,1,42006053,42814.000000000,42814.000000000,42814.000000000,42814.000000000,2,YM
2024-10-10T00:05:22.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:05:27.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,2,YM
2024-10-10T00:06:12.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:06:15.000000000Z,32,1,42006053,42820.000000000,42821.000000000,42820.000000000,42821.000000000,5,YM
2024-10-10T00:06:26.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,3,YM
2024-10-10T00:06:28.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,1,YM
2024-10-10T00:06:42.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:06:50.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:07:00.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:07:04.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:07:11.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:07:45.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:07:49.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:07:57.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,2,YM
2024-10-10T00:08:06.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:08:11.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:08:15.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:08:58.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:09:31.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:10:04.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:10:22.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:10:42.000000000Z,32,1,42006053,42814.000000000,42814.000000000,42813.000000000,42813.000000000,2,YM
2024-10-10T00:11:38.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:13:04.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,2,YM
2024-10-10T00:13:57.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:14:04.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:14:25.000000000Z,32,1,42006053,42815.000000000,42816.000000000,42815.000000000,42816.000000000,2,YM
2024-10-10T00:14:53.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:15:01.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42817.000000000,42817.000000000,3,YM
2024-10-10T00:15:02.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:15:10.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:15:17.000000000Z,32,1,42006053,42818.000000000,42819.000000000,42818.000000000,42819.000000000,2,YM
2024-10-10T00:15:58.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:16:06.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,3,YM
2024-10-10T00:16:09.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:16:10.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:16:32.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:16:45.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,3,YM
2024-10-10T00:16:47.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,2,YM
2024-10-10T00:16:50.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:17:31.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:17:40.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:17:56.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:18:09.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,5,YM
2024-10-10T00:18:13.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,3,YM
2024-10-10T00:18:17.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:18:22.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:18:27.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:18:39.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,2,YM
2024-10-10T00:18:43.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:18:44.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,5,YM
2024-10-10T00:18:47.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,1,YM
2024-10-10T00:18:55.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,2,YM
2024-10-10T00:18:58.000000000Z,32,1,42006053,42821.000000000,42822.000000000,42821.000000000,42822.000000000,6,YM
2024-10-10T00:19:02.000000000Z,32,1,42006053,42823.000000000,42824.000000000,42823.000000000,42824.000000000,7,YM
2024-10-10T00:19:03.000000000Z,32,1,42006053,42823.000000000,42823.000000000,42823.000000000,42823.000000000,1,YM
2024-10-10T00:19:19.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:19:40.000000000Z,32,1,42006053,42821.000000000,42822.000000000,42821.000000000,42821.000000000,5,YM
2024-10-10T00:20:00.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,3,YM
2024-10-10T00:20:01.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:20:25.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,1,YM
2024-10-10T00:20:29.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:20:34.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:20:39.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:21:00.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:21:07.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:21:11.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:21:36.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42821.000000000,42821.000000000,2,YM
2024-10-10T00:21:44.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:22:10.000000000Z,32,1,42006053,42820.000000000,42820.000000000,42820.000000000,42820.000000000,1,YM
2024-10-10T00:22:12.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,1,YM
2024-10-10T00:22:28.000000000Z,32,1,42006053,42819.000000000,42819.000000000,42819.000000000,42819.000000000,1,YM
2024-10-10T00:22:40.000000000Z,32,1,42006053,42818.000000000,42818.000000000,42818.000000000,42818.000000000,1,YM
2024-10-10T00:23:07.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:23:08.000000000Z,32,1,42006053,42822.000000000,42822.000000000,42822.000000000,42822.000000000,1,YM
2024-10-10T00:23:12.000000000Z,32,1,42006053,42821.000000000,42821.000000000,42821.000000000,42821.000000000,1,YM
2024-10-10T00:24:04.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:24:20.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:24:27.000000000Z,32,1,42006053,42814.000000000,42815.000000000,42814.000000000,42815.000000000,2,YM
2024-10-10T00:24:31.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,1,YM
2024-10-10T00:24:57.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42815.000000000,42815.000000000,2,YM
2024-10-10T00:25:02.000000000Z,32,1,42006053,42817.000000000,42817.000000000,42817.000000000,42817.000000000,1,YM
2024-10-10T00:25:05.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,2,YM
2024-10-10T00:25:06.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:25:10.000000000Z,32,1,42006053,42816.000000000,42816.000000000,42816.000000000,42816.000000000,2,YM
2024-10-10T00:25:23.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:25:25.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:25:36.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:25:41.000000000Z,32,1,42006053,42814.000000000,42814.000000000,42813.000000000,42813.000000000,2,YM
2024-10-10T00:25:42.000000000Z,32,1,42006053,42812.000000000,42812.000000000,42811.000000000,42811.000000000,4,YM
2024-10-10T00:25:49.000000000Z,32,1,42006053,42812.000000000,42812.000000000,42812.000000000,42812.000000000,3,YM
2024-10-10T00:25:50.000000000Z,32,1,42006053,42812.000000000,42812.000000000,42812.000000000,42812.000000000,1,YM
2024-10-10T00:26:12.000000000Z,32,1,42006053,42814.000000000,42814.000000000,42814.000000000,42814.000000000,2,YM
2024-10-10T00:26:16.000000000Z,32,1,42006053,42814.000000000,42814.000000000,42814.000000000,42814.000000000,1,YM
2024-10-10T00:26:45.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,2,YM
2024-10-10T00:27:10.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
2024-10-10T00:27:15.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42814.000000000,42814.000000000,4,YM
2024-10-10T00:27:30.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42814.000000000,42814.000000000,4,YM
2024-10-10T00:27:40.000000000Z,32,1,42006053,42814.000000000,42814.000000000,42814.000000000,42814.000000000,4,YM
2024-10-10T00:27:42.000000000Z,32,1,42006053,42815.000000000,42815.000000000,42815.000000000,42815.000000000,1,YM
