ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2024-06-05T00:00:00.000000000Z,32,1,5602,5311.250000000,5311.500000000,5311.250000000,5311.500000000,8,ES
2024-06-05T00:00:01.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.250000000,5311.250000000,103,ES
2024-06-05T00:00:02.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,4,ES
2024-06-05T00:00:03.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,6,ES
2024-06-05T00:00:04.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,31,ES
2024-06-05T00:00:05.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,5,ES
2024-06-05T00:00:08.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,1,ES
2024-06-05T00:00:09.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,2,ES
2024-06-05T00:00:10.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,31,ES
2024-06-05T00:00:11.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,7,ES
2024-06-05T00:00:12.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,4,ES
2024-06-05T00:00:13.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,2,ES
2024-06-05T00:00:16.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,18,ES
2024-06-05T00:00:17.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,1,ES
2024-06-05T00:00:19.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,7,ES
2024-06-05T00:00:22.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,2,ES
2024-06-05T00:00:24.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,1,ES
2024-06-05T00:00:26.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,1,ES
2024-06-05T00:00:27.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,18,ES
2024-06-05T00:00:28.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,1,ES
2024-06-05T00:00:30.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,8,ES
2024-06-05T00:00:31.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,13,ES
2024-06-05T00:00:32.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,1,ES
2024-06-05T00:00:36.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,1,ES
2024-06-05T00:00:38.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,13,ES
2024-06-05T00:00:42.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,8,ES
2024-06-05T00:00:44.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,1,ES
2024-06-05T00:00:47.000000000Z,32,1,5602,5311.000000000,5311.250000000,5311.000000000,5311.250000000,5,ES
2024-06-05T00:00:48.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,5,ES
2024-06-05T00:00:50.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,23,ES
2024-06-05T00:00:53.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,10,ES
2024-06-05T00:00:55.000000000Z,32,1,5602,5311.000000000,5311.000000000,5311.000000000,5311.000000000,1,ES
2024-06-05T00:01:04.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,1,ES
2024-06-05T00:01:06.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,10,ES
2024-06-05T00:01:09.000000000Z,32,1,5602,5311.500000000,5311.500000000,5311.500000000,5311.500000000,26,ES
2024-06-05T00:01:10.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.750000000,5311.750000000,25,ES
2024-06-05T00:01:15.000000000Z,32,1,5602,5311.500000000,5311.750000000,5311.500000000,5311.750000000,7,ES
2024-06-05T00:01:17.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.750000000,5311.750000000,7,ES
2024-06-05T00:01:18.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.750000000,5311.750000000,61,ES
2024-06-05T00:01:25.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.500000000,5311.750000000,10,ES
2024-06-05T00:01:28.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.750000000,5311.750000000,1,ES
2024-06-05T00:01:36.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.500000000,5311.500000000,20,ES
2024-06-05T00:01:37.000000000Z,32,1,5602,5311.750000000,5311.750000000,5311.750000000,5311.750000000,1,ES
2024-06-05T00:01:39.000000000Z,32,1,5602,5311.500000000,5311.500000000,5311.500000000,5311.500000000,60,ES
2024-06-05T00:01:40.000000000Z,32,1,5602,5311.500000000,5311.500000000,5311.500000000,5311.500000000,2,ES
2024-06-05T00:01:45.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,1,ES
2024-06-05T00:01:46.000000000Z,32,1,5602,5311.500000000,5311.500000000,5311.500000000,5311.500000000,16,ES
2024-06-05T00:01:49.000000000Z,32,1,5602,5311.500000000,5311.500000000,5311.500000000,5311.500000000,5,ES
2024-06-05T00:01:50.000000000Z,32,1,5602,5311.500000000,5311.500000000,5311.500000000,5311.500000000,1,ES
2024-06-05T00:01:52.000000000Z,32,1,5602,5311.500000000,5311.500000000,5311.500000000,5311.500000000,1,ES
2024-06-05T00:01:55.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,15,ES
2024-06-05T00:01:56.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,8,ES
2024-06-05T00:01:57.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,4,ES
2024-06-05T00:02:00.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,6,ES
2024-06-05T00:02:01.000000000Z,32,1,5602,5311.250000000,5311.250000000,5311.250000000,5311.250000000,1,ES
2024-06-05T00:02:03.000000000Z,32,1,5602,5311.000000000,5311.000000000,5310.750000000,5311.000000000,21,ES
