ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2025-01-01T23:00:00.000000000Z,32,1,5002,5949.250000000,5949.750000000,5947.000000000,5947.000000000,335,ES
2025-01-01T23:00:01.000000000Z,32,1,5002,5946.750000000,5946.750000000,5945.000000000,5945.500000000,81,ES
2025-01-01T23:00:02.000000000Z,32,1,5002,5945.750000000,5945.750000000,5945.000000000,5945.250000000,44,ES
2025-01-01T23:00:03.000000000Z,32,1,5002,5945.500000000,5945.500000000,5945.000000000,5945.500000000,32,ES
2025-01-01T23:00:04.000000000Z,32,1,5002,5945.500000000,5946.500000000,5945.500000000,5946.000000000,71,ES
2025-01-01T23:00:05.000000000Z,32,1,5002,5946.000000000,5946.500000000,5945.750000000,5946.500000000,15,ES
2025-01-01T23:00:06.000000000Z,32,1,5002,5946.000000000,5946.500000000,5945.750000000,5946.250000000,20,ES
2025-01-01T23:00:07.000000000Z,32,1,5002,5945.750000000,5946.250000000,5945.500000000,5945.500000000,56,ES
2025-01-01T23:00:08.000000000Z,32,1,5002,5946.000000000,5946.250000000,5946.000000000,5946.000000000,10,ES
2025-01-01T23:00:09.000000000Z,32,1,5002,5945.750000000,5946.000000000,5945.500000000,5945.500000000,5,ES
2025-01-01T23:00:10.000000000Z,32,1,5002,5945.250000000,5945.250000000,5945.250000000,5945.250000000,3,ES
2025-01-01T23:00:11.000000000Z,32,1,5002,5945.000000000,5945.000000000,5945.000000000,5945.000000000,9,ES
2025-01-01T23:00:12.000000000Z,32,1,5002,5945.000000000,5945.000000000,5944.750000000,5944.750000000,6,ES
2025-01-01T23:00:13.000000000Z,32,1,5002,5945.000000000,5946.750000000,5945.000000000,5946.750000000,68,ES
2025-01-01T23:00:14.000000000Z,32,1,5002,5947.000000000,5947.000000000,5945.500000000,5945.750000000,14,ES
2025-01-01T23:00:15.000000000Z,32,1,5002,5945.500000000,5945.500000000,5945.000000000,5945.250000000,37,ES
2025-01-01T23:00:16.000000000Z,32,1,5002,5945.000000000,5945.750000000,5944.750000000,5945.000000000,40,ES
2025-01-01T23:00:17.000000000Z,32,1,5002,5944.500000000,5944.500000000,5943.750000000,5943.750000000,53,ES
2025-01-01T23:00:18.000000000Z,32,1,5002,5943.750000000,5943.750000000,5943.250000000,5943.500000000,37,ES
2025-01-01T23:00:19.000000000Z,32,1,5002,5943.750000000,5944.000000000,5943.750000000,5944.000000000,19,ES
2025-01-01T23:00:20.000000000Z,32,1,5002,5944.000000000,5944.250000000,5943.750000000,5944.250000000,19,ES
